class_id,ethnic,n_eff,n_indiv,share_in_class,mean_dkl,class_name
029,AIAN,32.9176,5812,0.005663730213351686,-0.007697117362478971,Meat/Fish/Dairy
029,2+races,107.9621,5812,0.018575722642807983,0.004869408279458008,Meat/Fish/Dairy
029,Hispanic,573.1947,5812,0.09862262560220234,0.017633731360785783,Meat/Fish/Dairy
030,White,9160.7762,13918,0.6581963069406525,0.02485868934558121,Coffee/Tea/Sugar
030,Black,1628.8915,13918,0.11703488288547205,0.02973888694711982,Coffee/Tea/Sugar
030,API,1243.4202,13918,0.0893389998563012,0.05630891012551148,Coffee/Tea/Sugar
030,AIAN,90.7537,13918,0.00652059922402644,0.02772567746164711,Coffee/Tea/Sugar
030,2+races,266.29060000000004,13918,0.0191328208075873,0.03414608130218813,Coffee/Tea/Sugar
030,Hispanic,1470.9257,13918,0.10568513435838482,0.04059049621536009,Coffee/Tea/Sugar
031,White,2486.1636000000003,3486,0.7131851979345956,0.04513098032264553,Agricultural Products
031,Black,412.5318,3486,0.11833958691910498,0.050218677229888445,Agricultural Products
031,API,214.74900000000002,3486,0.06160327022375216,0.08881963227112932,Agricultural Products
031,AIAN,20.5526,3486,0.0058957544463568564,0.055489407850312804,Agricultural Products
031,2+races,65.9032,3486,0.01890510613884108,0.05481471267381936,Agricultural Products
031,Hispanic,269.9271,3486,0.07743175559380379,0.0803172716807978,Agricultural Products
032,White,3656.2684,5325,0.6866231737089201,0.03419104959905674,Beverages (Non-Alcoholic)
032,Black,630.3729000000001,5325,0.11837988732394368,0.034316733015423394,Beverages (Non-Alcoholic)
032,API,304.9516,5325,0.05726790610328638,0.027490050451698313,Beverages (Non-Alcoholic)
032,AIAN,34.394800000000004,5325,0.00645911737089202,0.03243402599833336,Beverages (Non-Alcoholic)
032,2+races,94.8244,5325,0.017807399061032864,0.03721147618881285,Beverages (Non-Alcoholic)
032,Hispanic,584.4962,5325,0.10976454460093897,0.03527007711423249,Beverages (Non-Alcoholic)
033,White,2332.4549,3441,0.6778421679744261,0.04073566696019381,Alcoholic Beverages
033,Black,375.0591,3441,0.10899712292938099,0.03166907059431091,Alcoholic Beverages
033,API,154.0439,3441,0.04476718977041558,0.02319212565609406,Alcoholic Beverages
033,AIAN,21.2081,3441,0.006163353676256903,0.03713509527787065,Alcoholic Beverages
033,2+races,57.2132,3441,0.016626910781749493,0.03876474471594053,Alcoholic Beverages
033,Hispanic,488.4588,3441,0.14195257192676547,0.09422539202988439,Alcoholic Beverages
034,White,1421.9605000000001,2285,0.6223021881838074,0.20636394629891602,Tobacco
034,Black,264.44870000000003,2285,0.11573247264770242,0.2112973748521203,Tobacco
034,API,244.5424,2285,0.10702074398249452,0.23667782513150074,Tobacco
034,AIAN,17.3484,2285,0.007592297592997813,0.18173991211685375,Tobacco
034,2+races,45.605500000000006,2285,0.01995864332603939,0.22826907615425582,Tobacco
034,Hispanic,281.56870000000004,2285,0.12322481400437638,0.13068394847518033,Tobacco
035,White,61981.3762,91274,0.6790693538137914,0.0032218144497513698,Advertising & Retail
035,Black,12418.436099999999,91274,0.13605666564410454,0.006052514099763644,Advertising & Retail
035,API,5611.4191,91274,0.06147883406008283,0.007436416064413365,Advertising & Retail
035,AIAN,605.4259000000001,91274,0.006633059797970946,0.005971554710173161,Advertising & Retail
035,2+races,1694.4251,91274,0.01856415956351206,0.004499489935296729,Advertising & Retail
035,Hispanic,8617.3204,91274,0.09441155641256,0.008295360973515468,Advertising & Retail
036,White,16837.6799,24287,0.6932795281426277,-0.0030005254860376957,Insurance & Financial
036,Black,3481.6446,24287,0.14335424712809322,-0.013247715321115645,Insurance & Financial
