year,n_matched,w_white,w_black,w_api,w_aian,w_2prace,w_hispanic,share_white,share_black,share_api,share_aian,share_2prace,share_hispanic
1999,20994,15708.5022,2432.6734,974.8884,130.8313,375.7274,1293.3294,0.74823769648471,0.11587469753262837,0.04643652472134896,0.0062318424311708105,0.017896894350766884,0.061604715633038015
2000,21234,15697.6404,2512.839,1057.694,131.7835,378.7514,1375.4567,0.7392691155693699,0.11834035038146369,0.049811340303287176,0.006206249411321466,0.017837025525101254,0.06477614674578507
2001,16319,12007.318000000001,1987.3517,805.5044,105.2337,293.8965,1061.1825000000001,0.7357876095348981,0.12178146332495864,0.04935991175929898,0.006448538513389301,0.01800946749188063,0.0650274220234083
2002,19115,13995.359,2278.8273,986.9208,117.59440000000001,343.1993,1323.3383000000001,0.7321663091812712,0.1192167041590374,0.05163069840439445,0.006151943499869213,0.0179544493852995,0.06923035835731102
2003,21161,15468.0427,2544.7459,1076.6482,134.904,381.1801,1478.6132,0.7309693634516328,0.12025641037758139,0.05087889041160626,0.006375124048957989,0.018013331128018523,0.06987444827749162
2004,23616,17177.4415,2789.6288,1227.7971,146.3759,426.8215,1762.3833,0.7273645621612467,0.11812452574525745,0.051990053353658534,0.006198166497289973,0.018073403624661248,0.07462666412601626
2005,25686,18532.6332,3076.1628,1370.9416,156.2293,459.9242,1995.6934,0.7215071712216772,0.11976028965195049,0.0533731059721249,0.006082274390718679,0.01790563731215448,0.07769576422954139
2006,27170,19348.6596,3273.07,1592.8551,170.695,493.3188,2190.5359,0.7121332204637467,0.12046632315053368,0.05862550975340449,0.006282480677217519,0.018156746411483255,0.08062333087964667
2007,30760,21863.1681,3720.0714000000003,1755.6509,195.5976,554.0962000000001,2559.123,0.7107661931079323,0.1209386020806242,0.057075776983094934,0.006358829648894669,0.018013530559167754,0.08319645643693108
2008,29346,20893.1467,3518.6829000000002,1613.5352,185.5041,531.6334,2495.304,0.7119589279629251,0.11990332242895115,0.05498313909902542,0.006321273768145574,0.018116043072309688,0.08503046411776734
2009,28013,19844.6653,3356.4414,1589.8487,174.8137,509.2257,2433.5188,0.708409142183986,0.11981727769249992,0.05675396066112162,0.006240449077214151,0.01817819226787563,0.08687105272552029
2010,28196,19853.713,3378.9472,1687.0423,182.7314,513.2178,2475.4143,0.7041322528018159,0.11983782096751312,0.05983268194070081,0.006480756135622074,0.018201794580791603,0.08779310185841963
2011,31143,21843.355,3804.5831000000003,1783.413,197.2303,565.3407,2833.2138,0.7013889156471759,0.12216495199563306,0.05726529236104422,0.00633305397681662,0.01815305847220884,0.09097433773239572
2012,31309,21760.4683,3879.8979,1929.9035000000001,198.7562,569.0925,2856.9803,0.6950227825864768,0.12392276661662781,0.06164053467054202,0.006348212973905267,0.01817664249896196,0.09125108754671181
2013,30774,21129.8767,3854.9436,2034.5481,192.541,562.6144,2882.6316,0.6866145674920388,0.12526625073113667,0.06611256580230064,0.00625661272502762,0.018282134269188278,0.09367100799376098
2014,31876,21682.0619,4012.2290000000003,2154.6751,212.9007,582.0976,3111.3639000000003,0.6802002101894843,0.1258699021207178,0.06759552955201405,0.006679028108922073,0.018261312586271804,0.09760835424770989
2015,35598,24106.1876,4586.3433,2354.882,227.8792,650.503,3533.0566,0.6771781448395977,0.12883710601719198,0.06615208719590988,0.00640146075622226,0.01827358278554975,0.09924873869318501
2016,35836,23936.1944,4818.5355,2413.1092,238.357,665.5649,3634.0936,0.6679371135171336,0.1344607517580087,0.06733757115749525,0.006651328273244782,0.01857252204487108,0.10140901886371247
2017,41159,27198.2102,5668.8226,2797.0729,276.0697,765.0417,4307.206,0.6608083335358003,0.13772984280473288,0.067957746786851,0.006707395709322384,0.018587470541072425,0.10464797492650453
2018,43105,28203.799600000002,6053.9692000000005,2990.8935,284.8133,804.4979000000001,4610.5355,0.6543045957545529,0.14044702934694353,0.06938623129567335,0.006607430692495071,0.01866367938754205,0.1069605730193713
2019,45200,29261.1267,6634.8888,3055.339,303.2694,852.5809,4933.3846,0.6473700597345133,0.14678957522123892,0.06759599557522124,0.0067095,0.0188624092920354,0.10914567699115045
2020,65618,40687.947700000004,11161.365600000001,4232.12,449.3351,1279.9909,7597.2291000000005,0.620072963211314,0.17009609558352892,0.0644963272272852,0.006847741473376208,0.019506703953183577,0.11577965040080467
2021,59097,36474.2874,9983.0397,3712.4013,411.971,1153.1181,7172.3278,0.6171935529722321,0.16892633636225188,0.06281877760292401,0.006971098363707125,0.019512295040357376,0.1213653451105809
2022,44758,27820.721,6925.4268,3134.0788000000002,302.52320000000003,859.9362,5563.5727,0.6215809687653604,0.1547304794673578,0.07002276241118907,0.006759086643728496,0.019213016667411414,0.12430342508601813
2023,45418,28239.706000000002,6557.4136,3556.6277,298.2192,869.009,5736.8227,0.6217734378440266,0.14437918006076886,0.07830876965079925,0.006566101545642696,0.019133581399445154,0.12631165396979172
2024,46158,28624.8769,6440.6679,3807.0081,305.1475,882.8506,5930.1221000000005,0.6201498526799255,0.13953524632783051,0.08247775250227479,0.0066109341825902335,0.019126708262923002,0.12847441613588112
2025,66133,41688.8956,9263.1639,4899.1878,406.4306,1259.6753,8396.1809,0.6303796228811638,0.14006870851163564,0.07408083407678466,0.006145654968018993,0.01904760558268943,0.12695902045877247
2026,21777,13750.3136,3081.7988,1463.8763000000001,136.6138,407.38120000000004,2866.468,0.6314145015383202,0.14151622353859578,0.06722121045139368,0.006273306699729072,0.018706947697111634,0.13162823162051704
