cls,class_name,year,n_filings,n_unique_owners,top10_count,top10_share,hhi
009,Software & Electronics,2010,38676,24538,856,0.02213258868548971,1.4873050906721015
009,Software & Electronics,2011,43418,27262,1186,0.027315859781657376,1.6624381851120271
009,Software & Electronics,2012,45592,28817,918,0.020135111423056677,1.240422501572651
009,Software & Electronics,2013,47287,30191,1020,0.02157041047222281,1.3106041503300756
009,Software & Electronics,2014,51743,33672,971,0.018765823396401447,1.0268370858236737
009,Software & Electronics,2015,57363,38434,1162,0.020256960061363596,1.4093027185263236
009,Software & Electronics,2016,59239,40621,930,0.015699117135670758,0.8108235675652178
009,Software & Electronics,2017,66283,45735,1010,0.015237692922770545,0.8217599907824678
009,Software & Electronics,2018,66716,45410,933,0.013984651357995084,0.7168326950737071
009,Software & Electronics,2019,64773,44283,908,0.01401818659009155,0.7240090412652903
009,Software & Electronics,2020,78320,54890,802,0.010240040858018386,0.4740021816679379
009,Software & Electronics,2021,83308,57772,739,0.008870696691794305,0.4267557480557587
009,Software & Electronics,2022,75325,50428,811,0.010766677729837372,0.5463180956424142
009,Software & Electronics,2023,67960,47313,793,0.011668628605061801,0.5689087269075289
009,Software & Electronics,2024,72718,51867,734,0.010093786957837124,0.48120735630323036
009,Software & Electronics,2025,80745,57094,810,0.010031580902842282,0.44402435197325524
010,Medical Devices,1985,1194,816,151,0.12646566164154105,37.162361219834516
010,Medical Devices,1986,1224,862,95,0.07761437908496732,20.25129223802811
010,Medical Devices,1987,1400,989,99,0.07071428571428572,17.357142857142854
010,Medical Devices,1988,1625,1126,102,0.06276923076923077,15.242603550295858
010,Medical Devices,1989,1947,1315,134,0.06882383153569595,14.812141682685677
010,Medical Devices,1990,2619,1756,124,0.047346315387552504,10.39923104298033
010,Medical Devices,1991,2755,1730,156,0.05662431941923775,12.267416773989545
010,Medical Devices,1992,3115,1932,211,0.06773675762439807,12.378358741552422
010,Medical Devices,1993,3288,2059,165,0.05018248175182482,9.978777061466603
010,Medical Devices,1994,3200,2038,167,0.0521875,10.035156250000004
010,Medical Devices,1995,3453,2078,246,0.07124239791485665,15.245056930562907
010,Medical Devices,1996,3759,2289,186,0.04948124501197127,9.462790765318331
010,Medical Devices,1997,4213,2494,208,0.049370994540707334,9.195256462356491
010,Medical Devices,1998,4156,2572,221,0.053176130895091434,9.603796498632263
010,Medical Devices,1999,4810,3080,173,0.03596673596673597,6.433236370866308
010,Medical Devices,2000,5152,3179,170,0.03299689440993789,6.22986671038926
010,Medical Devices,2001,4922,2950,200,0.04063388866314506,7.581084916571743
010,Medical Devices,2002,4794,2919,200,0.041718815185648725,7.491808092057778
010,Medical Devices,2003,5175,3014,256,0.049468599033816424,8.96805059627996
010,Medical Devices,2004,5739,3355,338,0.058895277922983096,9.395459774999003
010,Medical Devices,2005,6108,3637,299,0.04895219384413883,7.93992355029251
010,Medical Devices,2006,6188,3671,207,0.033451842275371686,5.937112053314192
010,Medical Devices,2007,6650,3923,268,0.04030075187969925,6.080615071513371
010,Medical Devices,2008,6595,3988,234,0.0354814253222138,5.3591269145589555
010,Medical Devices,2009,6285,3771,252,0.04009546539379475,6.672451297396473
010,Medical Devices,2010,6807,4063,223,0.03276039371235493,5.381863816033447
