cpc_class,decade,total_inventors,n_distinct_surnames,hhi,top5_share
B26,1990,2088,1645,0.0017033110200965953,0.05220306513409962
B26,2000,2070,1675,0.0014287381269107796,0.049758454106280194
B26,2010,2294,1849,0.0011059516923341217,0.03879686137750654
B26,2020,1257,1079,0.001347426567150766,0.035003977724741446
B27,1980,1188,943,0.0025351721479667582,0.06481481481481481
B27,1990,1091,892,0.0023112189474586314,0.06049495875343722
B27,2000,1186,976,0.0019053089870865534,0.05143338954468803
B27,2010,912,778,0.0018106532779316713,0.04276315789473684
B27,2020,454,418,0.0026489937704981667,0.037444933920704845
B28,1980,470,408,0.0035762788592123116,0.059574468085106386
B28,1990,747,626,0.003051922101614847,0.06961178045515395
B28,2000,768,670,0.0022108289930555555,0.049479166666666664
B28,2010,940,819,0.0015731100045269348,0.036170212765957444
B28,2020,737,660,0.0017471542006263245,0.027137042062415198
B29,1980,5135,3790,0.0017811968761643976,0.05900681596884128
B29,1990,7992,5556,0.0011107203299395487,0.046546546546546545
B29,2000,7964,5582,0.000734407293897375,0.03540934203917629
B29,2010,10278,7015,0.0006023062842092756,0.0314263475384316
B29,2020,8359,5737,0.0006623599791169347,0.032420145950472545
B30,1980,672,583,0.003272923752834466,0.06398809523809523
B30,1990,761,649,0.0025987660609786208,0.052562417871222074
B30,2000,355,312,0.004610196389605242,0.07042253521126761
B30,2010,343,304,0.00405443310185382,0.061224489795918366
B31,1980,439,395,0.003627004841195303,0.0683371298405467
B31,1990,574,504,0.0028955068047445028,0.059233449477351915
B31,2000,612,545,0.002360203340595497,0.04411764705882353
B31,2010,585,533,0.002229527357732486,0.039316239316239315
B31,2020,322,295,0.00403148026696501,0.062111801242236024
B32,1980,2838,2249,0.002260919833071859,0.06060606060606061
B32,1990,5068,3736,0.0013436054193357084,0.04913180741910024
B32,2000,5851,4251,0.0008269215922404613,0.03760041018629294
B32,2010,6143,4365,0.0007347008193590234,0.03434803841771122
B32,2020,3837,2859,0.0008927110479156183,0.03596559812353401
B41,1980,3527,2750,0.001488537250288973,0.04905018429259994
B41,1990,5059,3747,0.0010681235584952282,0.04427752520260921
B41,2000,6409,4545,0.000747383809741922,0.03541894211265408
B41,2010,5166,3730,0.0007635768520729285,0.03561749903213318
B41,2020,1958,1630,0.00094685014518369,0.031664964249233915
B42,1980,1055,904,0.0022218728240605556,0.05308056872037915
B42,1990,1908,1556,0.0014525620909862037,0.04612159329140461
B42,2000,1520,1249,0.0014603531855955708,0.04407894736842105
B42,2010,1236,1055,0.0013026151799834526,0.03478964401294499
B42,2020,417,383,0.0029501578593240574,0.045563549160671464
B43,1980,580,517,0.0025386444708680143,0.05172413793103448
B43,1990,777,688,0.0018832953195887562,0.04118404118404118
B43,2000,954,820,0.0016459440335078153,0.039832285115303984
