row_idx,year,n_terms,dkl,survived_5y,total_competitors,live_competitors,share_neighbors_alive
389232,2008,40,-0.09509051823522086,true,3,2,0.6666666666666666
718197,2013,17,0.07094626245714242,false,1,0,0.0
100601,1995,10,-0.25408373590826905,true,0,0,0.0
827742,2015,15,0.11905880806585412,true,0,0,0.0
174193,1997,15,-0.25774972197231527,false,1,0,0.0
1058778,2019,81,-0.04089431048056458,false,1,1,1.0
373350,2008,8,0.02828486666636465,true,6,6,1.0
601229,2016,94,0.0760922739351777,false,39,3,0.07692307692307693
165047,1997,25,0.04178296449212837,false,0,0,0.0
196574,1998,10,-0.32522984603001515,false,0,0,0.0
306955,2003,9,-0.009177676220962994,true,2,2,1.0
458412,2002,10,-0.20135832791817965,true,0,0,0.0
771069,2014,5,0.20316907280926877,false,22,9,0.4090909090909091
90103,1994,23,-0.17538151453594608,false,0,0,0.0
754459,2013,55,0.030572400659625742,true,2,1,0.5
328609,2006,136,-0.23315367969727507,true,9,9,1.0
1038162,2019,40,-0.017550764975822197,false,1,0,0.0
166849,1997,14,0.14669873821803847,true,0,0,0.0
276057,2001,84,-0.021417577232837992,false,17,11,0.6470588235294118
171625,1997,13,-0.025720408865745448,true,1,1,1.0
253931,2000,8,0.2808216397654357,false,1,0,0.0
893520,2016,26,0.00704765206943847,false,1,1,1.0
616096,2019,140,0.10415223760834147,false,0,0,0.0
94292,1995,18,0.07596852250131558,true,1,1,1.0
696556,2012,113,-0.09659983827294649,true,22,9,0.4090909090909091
311082,2003,18,0.1514098457026991,true,11,5,0.45454545454545453
712075,2012,5,0.35680929614268475,false,1,1,1.0
546312,2006,38,0.15925968704813798,true,0,0,0.0
458020,2002,17,-0.28916449641696307,true,0,0,0.0
893219,2016,10,0.03618924933632428,false,76,32,0.42105263157894735
856217,2016,8,0.45835712669657536,false,0,0,0.0
492483,2004,24,-0.1209036965578294,true,0,0,0.0
909547,2017,54,-0.010640566205599278,false,0,0,0.0
294572,2002,29,0.028207290746134817,false,0,0,0.0
533928,2006,21,-0.06417787968216171,true,11,9,0.8181818181818182
390696,2008,133,0.00333346413155855,false,0,0,0.0
852568,2016,73,0.06876319451481905,true,35,11,0.3142857142857143
1004531,2018,54,-0.23625408277375737,false,1,0,0.0
313528,2004,96,0.04370189157667248,true,1,1,1.0
972903,2018,31,-0.025303598278036077,true,0,0,0.0
1061725,2019,99,-0.18740944597558062,false,0,0,0.0
724081,2013,13,0.6054920929522636,true,196,109,0.5561224489795918
690867,2012,14,0.5324937225904831,true,476,220,0.46218487394957986
86222,1994,9,0.39817501094971686,true,8,5,0.625
96937,1995,9,0.040553689824553096,true,5,5,1.0
947518,2017,51,-0.2059549410638084,false,4,2,0.5
656477,2011,201,-0.2192533874945397,true,11,11,1.0
308806,2003,54,-0.1652940180531166,true,15,8,0.5333333333333333
790533,2014,12,-0.40181563195530323,true,1,1,1.0
45524,1992,7,0.05823930372724284,false,29,16,0.5517241379310345
1008688,2018,6,-0.07281973748511561,true,0,0,0.0
596847,2016,1685,0.026640224559002057,false,8,0,0.0
504664,2005,10,-0.11025202004793666,true,0,0,0.0
27140,1991,5,-0.2966373013019208,true,0,0,0.0
720251,2013,17,0.10642059916344682,false,1,1,1.0
244060,1999,7,-0.0216144846111348,true,0,0,0.0
937176,2017,26,-0.096840239126319,false,6,2,0.3333333333333333
884362,2016,15,-0.2833689601144309,false,1,0,0.0
11109,1990,9,0.08008579145538608,false,0,0,0.0
1048358,2019,64,-0.25326681084748426,true,2,0,0.0
112941,1995,24,-0.1308250163519924,true,1,0,0.0
490100,2004,8,-0.5067326836724497,true,0,0,0.0
614166,2019,94,0.09346591050460784,false,3,2,0.6666666666666666
288353,2001,109,-0.0967199981861615,true,2,1,0.5
1041032,2019,73,0.0027979447325909845,true,0,0,0.0
380248,2008,13,1.0522947679136214,false,37,17,0.4594594594594595
217083,1999,18,0.05819401562342996,true,2,1,0.5
460423,2002,20,0.11759453717847368,false,0,0,0.0
846632,2015,65,0.03522263628164346,true,2,2,1.0
794842,2014,43,0.05681837816061641,true,0,0,0.0
664329,2011,576,-0.015769025427756045,true,8,8,1.0
902796,2017,47,0.14202552950395475,true,0,0,0.0
611604,2018,73,0.17041253789017974,true,2,1,0.5
455160,2002,15,-0.15918671315635358,false,9,0,0.0
482203,2004,43,0.03871654555023696,false,8,5,0.625
101660,1995,27,-0.029190583254364633,true,0,0,0.0
521295,2005,12,-0.04115611086259019,true,2,2,1.0
71903,1994,13,-0.12894738128447525,false,0,0,0.0
536174,2006,13,0.0549745238353454,false,101,45,0.44554455445544555
997676,2018,113,-0.17759487330314627,true,7,2,0.2857142857142857
419097,2009,22,0.157196264539885,false,3,3,1.0
1051499,2019,76,0.12307854728863354,true,5,2,0.4
127538,1996,46,-0.07852494375174413,true,4,3,0.75
993005,2018,18,-0.05428857848389512,false,0,0,0.0
743923,2013,211,-0.2679762890103907,false,6,2,0.3333333333333333
278292,2001,41,0.05155550017746613,true,4,2,0.5
11270,1990,14,0.19496706950966392,true,15,10,0.6666666666666666
964838,2018,5,-0.28865922178244574,false,4,1,0.25
685271,2012,10,0.31550759726382793,false,1,0,0.0
61504,1993,16,-0.06445750343991108,false,0,0,0.0
619616,2019,153,0.0746105256892795,false,0,0,0.0
363395,2007,122,0.12748326079981798,true,0,0,0.0
557880,2007,27,-0.12916400327082567,false,2,0,0.0
377809,2008,85,-0.017283490625758624,false,0,0,0.0
1005857,2018,33,0.13104613447541702,true,0,0,0.0
999289,2018,199,-0.02899096242241317,false,0,0,0.0
144942,1996,53,-0.1061413258810262,true,2,1,0.5
218594,1999,14,0.3178199676459119,false,0,0,0.0
