year,n,mean_dkl,std_dkl,mean_abs_dkl,share_pos,class_id
2023,46403,0.04512242295959259,0.1465904554162534,0.10172266715983132,0.600844772967265,042
2024,47840,0.05572446025254048,0.16664778589747042,0.1251079641084756,0.6031981605351171,042
2002,2913,0.2326419873318568,0.2546276058095182,0.27834316506903933,0.8414006179196705,044
2003,3676,0.06027073930045809,0.2020563395418191,0.16006637941505888,0.6245919477693145,044
2004,4521,-0.015046309756603421,0.19782095295151206,0.14666483291806393,0.44990046449900467,044
2005,5228,-0.025496733649031936,0.18996128406201288,0.14038572154955395,0.42635807192042846,044
2006,6231,-0.03389626231652336,0.1990553721829977,0.14861582904121298,0.38468945594607606,044
2007,7215,-0.029353044790832672,0.2305809011293669,0.16461880369075663,0.3857241857241857,044
2008,7326,-0.004684382027990187,0.2227040729034959,0.16588089996296465,0.4595959595959596,044
2009,6961,0.03302704493050429,0.23698183348575272,0.16286333335693898,0.5497773308432696,044
2010,7290,0.04953617555970494,0.20867392898509998,0.1502023192912776,0.6017832647462277,044
2011,8175,0.010544282844419947,0.1720162487990485,0.12319298094698884,0.5058103975535169,044
2012,8885,-0.014819158147077276,0.15160073306886257,0.11410723195571355,0.43702870005627464,044
2013,9282,-0.01667577620216424,0.14286208431209405,0.10823209471970649,0.4342814048696402,044
2014,9924,-0.013952459138215228,0.14611306023593065,0.1091276511294207,0.43399838774687627,044
2015,11243,-0.022349720806908592,0.14125450414809831,0.10759141022835102,0.41599217290758694,044
2016,11976,-0.015108367920378946,0.1461727138397008,0.10853772711934764,0.4385437541750167,044
2017,12940,-0.016717924096184653,0.1457012809522661,0.10493514009159324,0.435935085007728,044
2018,14258,-0.0034452385451192204,0.14596632842065102,0.10164434880427595,0.4672464581287698,044
2019,15282,0.019283426884096525,0.12432386455699573,0.09454246342673339,0.5698861405575186,044
2020,17194,0.028227082732275362,0.12371791476107144,0.09397384147207827,0.6147493311620332,044
2021,18274,0.019676068479422635,0.12341076038061126,0.08943091745395831,0.5829593958629747,044
2022,17463,0.04178900312350893,0.12943667779693072,0.09749585582386883,0.6664948748783142,044
2023,16061,0.05096305964160366,0.12939867119337997,0.10310905530311246,0.673868376813399,044
2024,16506,0.06284281376685386,0.13843067706041598,0.12031724899491747,0.6806009935780928,044
1990,4207,0.8676894946878807,0.5765569370192098,0.8795787039431914,0.9729023056810079,035
1991,4366,0.2652979802368886,0.2894574053061447,0.3205138749961748,0.8444800732936326,035
1992,4527,0.09144389857918721,0.27323721988011,0.21818025633645272,0.6445769825491495,035
1993,5586,-0.002598261799920153,0.288513733417624,0.21820342366268125,0.4847833870390261,035
1994,6133,-0.04587897522867695,0.30350255346768495,0.22987214394079103,0.4060003261046796,035
1995,7903,-0.05982335960141031,0.35094521791911576,0.2726623179858385,0.3596102745792737,035
1996,12695,0.00197843330571006,0.35475869567555024,0.28095770490549665,0.47073651043718,035
1997,16177,-0.052029312493400426,0.23447881728521786,0.18376897750857346,0.4217098349508562,035
1998,14587,-0.05019878840270822,0.22815522343290182,0.1789483468239895,0.39720298896277506,035
1999,25762,-0.04163653573740102,0.19253910718265507,0.15146346116292608,0.39674714696063973,035
2000,32197,-0.0898789635730032,0.19804383598817968,0.16743599144271362,0.32034040438550176,035
2001,18012,-0.028625719082635736,0.22112971744211057,0.16443471453131475,0.4393182322895847,035
2002,18109,0.005427834840249502,0.22642193685386192,0.1675089006821905,0.4810867524435364,035
2003,20099,-0.020248615493221725,0.20080124632735816,0.15400516904293332,0.4353947957609831,035
2004,24248,-0.0241670042402975,0.20797562491265498,0.1550239720111887,0.40811613328934343,035
2005,27987,-0.016701653014098792,0.21249080615874572,0.15816781978973019,0.4160860399471183,035
