cpc_class,decade,total_inventors,n_distinct_surnames,hhi,top5_share
B64,2010,16622,11611,0.00030890631918206886,0.021718204788834076
B64,2020,15953,10958,0.0003776725988668941,0.024384128377107753
B65,1980,22989,14427,0.0006364063224839542,0.03310278829005176
B65,1990,32032,18687,0.00047875880051516894,0.02872127872127872
B65,2000,31151,18376,0.00038330670432666836,0.025039324580270295
B65,2010,42382,23200,0.00034085315493685107,0.023476947760841867
B65,2020,26017,15364,0.00045355610255566137,0.0291732328861898
B66,1980,3177,2611,0.001082199936215297,0.039660056657223795
B66,1990,3773,2961,0.0007205211692519471,0.029684601113172542
B66,2000,4381,3449,0.0005934926508457872,0.026477973065510158
B66,2010,7028,5110,0.0005354628319796676,0.028315310187820148
B66,2020,5423,3935,0.0008726941399328058,0.043149548220542136
B67,1980,1762,1504,0.0012922576630364038,0.03859250851305335
B67,1990,2905,2306,0.0009518872144590165,0.0351118760757315
B67,2000,2543,2033,0.0009233244815210633,0.033818324813212744
B67,2010,3276,2645,0.0006988331164155331,0.03021978021978022
B67,2020,2643,2093,0.0010279940487719543,0.04237608777903897
B81,2000,2885,2153,0.0014538835607591982,0.056152512998266894
B81,2010,4451,3020,0.0018893666328797225,0.07099528195911031
B81,2020,2186,1567,0.002423724457978872,0.0768526989935956
B82,2000,569,473,0.0030856094464744074,0.06678383128295255
B82,2010,1682,1187,0.003716344705993797,0.10463733650416171
C01,1980,6403,5008,0.0005398502171145227,0.025769170701233798
C01,1990,6874,5181,0.00048137771291874206,0.024730869944719232
C01,2000,7933,5610,0.0005501292027397803,0.030253371990419765
C01,2010,14277,8298,0.0014776380686145833,0.06352875253904881
C01,2020,9303,5151,0.002619133180671984,0.08921853165645491
C02,1980,3809,3137,0.0006843583418553604,0.028353898661065895
C02,1990,5956,4587,0.0005647526679869989,0.026024177300201477
C02,2000,6255,4562,0.0005980571258420916,0.031015187849720224
C02,2010,8900,5844,0.0009474813786138109,0.045730337078651685
C02,2020,6754,4039,0.0024782252112370874,0.08469055374592833
C03,1980,3902,3198,0.0006699241619577143,0.027934392619169655
C03,1990,5249,4023,0.0005434451022268763,0.023242522385216232
C03,2000,6052,4395,0.0005588272425495889,0.026768010575016522
C03,2010,6823,4652,0.0010367249998383583,0.04792613219991206
C03,2020,4570,3073,0.001627204343808206,0.06520787746170678
C04,1980,5723,4269,0.0006317946819026895,0.027782631486982352
C04,1990,9499,6358,0.0004985315412825795,0.023581429624170966
C04,2000,7950,5340,0.0006462719038012738,0.03245283018867925
C04,2010,8563,5935,0.0006235938538207905,0.034100198528553075
C04,2020,5354,3399,0.0022498269337062234,0.08199477026522227
C05,1980,626,574,0.0026590043789361936,0.04792332268370607
C05,1990,855,760,0.0019438459697000805,0.0456140350877193
C05,2000,770,676,0.0018721538202057676,0.03636363636363636
C05,2010,1575,1309,0.0011888133030990176,0.03746031746031746
C05,2020,1203,956,0.0018953724030184962,0.05569409808811305
C06,1980,787,709,0.002048859403683427,0.03939008894536213
C06,1990,974,860,0.0016886692611597625,0.04004106776180698
C06,2000,785,706,0.0019651912856505326,0.04331210191082802
C06,2010,875,772,0.001866448979591837,0.046857142857142854
C07,1980,35323,20813,0.0003166373831072676,0.01984542649265351
C07,1990,64815,33324,0.0002801731539470373,0.020396513152819564
C07,2000,83730,40679,0.00036409706636253783,0.027266212826943748
C07,2010,113146,50009,0.0007382848942242439,0.043607374542626344
C07,2020,60655,28617,0.001412942100939256,0.06236913692193554
C08,1980,22830,13889,0.0004767109694404683,0.025799386771791503
C08,1990,34159,18648,0.0003683041388870399,0.02210252056559033
C08,2000,35277,19060,0.0004516271804643804,0.029225841199648495
C08,2010,47270,22761,0.0009273804786845137,0.04829701713560398
C08,2020,30654,14817,0.0016262365663736388,0.06664709336465062
C09,1980,11252,7889,0.0004649329474183462,0.024440099537859937
C09,1990,16912,10568,0.0003996912841273521,0.022114474929044465
C09,2000,20845,12179,0.0004711447461333382,0.028256176541136963
C09,2010,35023,17241,0.001110379348455764,0.0531936156240185
C09,2020,23205,11511,0.0018955172276591333,0.07515621633268692
C10,1980,7853,5816,0.0007543261706102282,0.034509104800713106
C10,1990,7966,5880,0.0005033947629168881,0.025483304042179262
C10,2000,7473,5463,0.00046014261896375327,0.023952897096213035
C10,2010,12471,8285,0.0005466937163194633,0.03271590089006495
C10,2020,7288,5054,0.0009266695263766079,0.04665203073545554
C11,1980,3250,2722,0.0006513609467455621,0.024615384615384615
C11,1990,5306,4250,0.0004675772607133234,0.02186204297022239
C11,2000,6834,5251,0.0003778727255800394,0.020046824700029265
C11,2010,6962,5294,0.00043367528622775207,0.022838264866417695
C11,2020,3300,2662,0.0007120293847566583,0.029696969696969697
C12,1980,7439,5516,0.0004100022477931863,0.020164000537706683
C12,1990,23100,14447,0.0002901707239369579,0.019090909090909092
C12,2000,36467,20870,0.00040367875587670615,0.028272136452134805
C12,2010,59127,29804,0.0007709059950632538,0.045275424087134475
C12,2020,39870,20537,0.0012750984215127569,0.05914221218961625
C21,1980,3740,2899,0.0006916125711344328,0.026203208556149733
C21,1990,3167,2500,0.0007676057033133662,0.03031259867382381
C21,2000,2569,2046,0.0007919983769109216,0.026858699883223043
C21,2010,3607,2561,0.0010765962035591545,0.042140282783476576
C21,2020,3109,1891,0.0030092445789473344,0.0919909938887102
C22,1980,6271,4720,0.0004954807754094856,0.02264391644075905
C22,1990,7182,4994,0.0005417485667819103,0.02478418267891952
C22,2000,6752,4678,0.0005880739566721325,0.026214454976303318
C22,2010,9538,5685,0.001078424600480114,0.046760327112602224
C22,2020,6421,3641,0.002156988531513351,0.07724653480766236
C23,1980,5672,4335,0.0005754767934336091,0.027150916784203102
C23,1990,10471,6823,0.000509650325918916,0.024830484194441792
C23,2000,13394,8042,0.0007688661505782558,0.03994325817530237
C23,2010,17553,9265,0.0015742054755905263,0.06471828177519512
C23,2020,10251,5535,0.0025981842676914032,0.08633304067895815
C25,1980,4574,3651,0.0005427915315343902,0.024486226497595104
C25,1990,3765,3051,0.0005858813528533041,0.024169986719787515
C25,2000,4281,3262,0.000654609348489365,0.031067507591684185
C25,2010,7098,4689,0.0009938945175306452,0.047337278106508875
C25,2020,4725,3137,0.0017112622826908539,0.0656084656084656
C30,1980,1633,1402,0.0009821167747720127,0.026331904470300063
C30,1990,2584,1970,0.0009309492087530796,0.029411764705882353
C30,2000,3693,2573,0.001214012150680047,0.04819929596533983
C30,2010,3731,2495,0.0016260354167539173,0.0627177700348432
C30,2020,1947,1336,0.002807052531530873,0.08525937339496661
C40,2000,800,722,0.0017843750000000008,0.04
C40,2010,622,527,0.003148230477352385,0.07234726688102894
D01,1980,3048,2445,0.0007823210090864624,0.030183727034120734
D01,1990,4002,3111,0.0006334913502768856,0.026486756621689155
D01,2000,3165,2480,0.0007216569459106686,0.027172195892575038
D01,2010,3205,2321,0.0014671887967562386,0.059282371294851796
D01,2020,2169,1552,0.00215811847269065,0.07238358690640849
D02,1980,922,814,0.001999802372471428,0.044468546637744036
D02,1990,979,867,0.001795624352464051,0.0449438202247191
D02,2000,943,835,0.001683442995156587,0.03923647932131495
D02,2010,766,658,0.002314420304180954,0.05483028720626632
D02,2020,538,457,0.0031163195644062416,0.06319702602230483
D03,1980,1081,958,0.0013375424988511504,0.032377428307123035
D03,1990,1125,986,0.0012159999999999988,0.024
D03,2000,867,798,0.0014274520446620877,0.025374855824682813
D03,2010,825,732,0.0018027548209366398,0.044848484848484846
D03,2020,709,622,0.002066917190027071,0.045133991537376586
D04,1980,1934,1642,0.0009608711042478311,0.02843846949327818
D04,1990,2499,2089,0.0008510807284098116,0.028011204481792718
D04,2000,2406,2007,0.000926611152915716,0.03200332502078138
D04,2010,2476,2004,0.0008553845511416872,0.03150242326332795
D04,2020,1706,1424,0.0011427841051993583,0.038100820633059786
D05,1980,1678,1394,0.0011911848062495676,0.035160905840286055
D05,1990,1510,1237,0.0011753870444278754,0.031788079470198675
