year,n_matched,w_white,w_black,w_api,w_aian,w_2prace,w_hispanic,share_white,share_black,share_api,share_aian,share_2prace,share_hispanic
2010,31429,21569.2183,3624.6751,2368.2039,197.3436,569.913,2978.3134,0.6862839511279392,0.11532899869547233,0.07535091476025327,0.0062790289223328775,0.018133348181615706,0.09476322504693117
2011,34676,23689.6665,4078.4074,2578.636,213.41320000000002,628.4136,3355.0081,0.6831718335448148,0.11761470181105087,0.07436370977044642,0.006154493021109702,0.018122436267158842,0.09675303091475372
2012,35057,23646.7416,4150.8027,2822.7225,216.8903,635.4142,3453.0183,0.6745226802065208,0.11840153749607782,0.08051808483327152,0.006186790084719172,0.01812517328921471,0.0984972558975383
2013,34773,23067.0886,4138.9654,3100.8383,210.6975,632.2832,3487.7277,0.6633620510165933,0.11902813677278348,0.0891737353693958,0.006059226986455008,0.018183165099358696,0.1002998792166336
2014,36828,23734.1119,4324.4766,3914.1895,231.7324,666.2816,3815.0032,0.6444583441946345,0.11742360703812317,0.10628297762571956,0.006292288476159444,0.0180917128271967,0.10358974693168242
2015,42519,26382.0684,4931.1507,5735.3848,253.1069,765.352,4284.5988,0.6204771607987017,0.11597522754533268,0.13488992685622897,0.005952795220960041,0.01800023518897434,0.10076903972341776
2016,45427,26456.27,5183.3506,8088.2592,265.6302,820.3037,4449.2198,0.5823908688665331,0.11410285953287692,0.1780496004578775,0.005847407929205098,0.018057624320338125,0.09794218856627115
2017,51935,30023.7436,6084.4065,9214.5121,309.7783,942.1231,5171.4637,0.5781023125060172,0.11715426013285839,0.17742393568884182,0.005964730913642052,0.01814042745739867,0.09957569461827284
2018,54059,31156.305800000002,6474.4102,9405.6198,319.0355,985.2488000000001,5520.5818,0.5763389222886106,0.11976563014484175,0.17398804639375498,0.0059016167520671865,0.0182254351726817,0.1021214191901441
2019,60306,32370.889,7094.5625,13280.9339,337.37850000000003,1098.7967,5913.0173,0.5367772526780088,0.11764273040825125,0.2202257470235134,0.005594443338971247,0.018220354525254535,0.09805023214937154
2020,102307,44323.5616,11713.1173,34854.0854,493.8619,1811.4397000000001,8818.2836,0.4332407518547118,0.11448989120979014,0.3406813355879852,0.004827254244577595,0.01770592139345304,0.08619433274360504
2021,95993,40179.0244,10570.7812,34371.1766,456.28880000000004,1685.3791,8457.1375,0.4185620243142729,0.1101203337743377,0.3580591980665257,0.004753354932130468,0.017557312512370696,0.08810160636713095
2022,68145,30736.4356,7369.0472,21603.8547,338.4208,1215.6461,6669.546600000001,0.45104461956122976,0.1081377533201262,0.3170277305745102,0.004966186807542739,0.01783910925232959,0.09787286814880036
2023,64795,31172.3602,7013.3273,18004.7052,334.3576,1170.8005,6882.738,0.4810920626591558,0.10823871132031793,0.27787182961648277,0.005160237672659928,0.018069303186974306,0.10622328883401498
2024,74926,31848.7725,6936.7688,26982.7651,343.133,1318.5847,7258.044,0.425069702106078,0.0925815978432053,0.3601255251848491,0.004579625230227157,0.01759849317993754,0.0968694979045992
2025,95670,45046.705,9826.0529,28435.0803,448.8256,1702.9597,9920.7961,0.4708550747360719,0.1027077756872583,0.29722044841643147,0.004691393331242814,0.017800352252534755,0.10369808821992264
2026,28044,14503.658,3232.4101,6290.3016,145.282,503.88640000000004,3281.6933,0.517175082013978,0.1152620917130224,0.22430115532734274,0.0051805020681785765,0.017967707887605194,0.11701944444444444
