token,year,n,n_pass5,pass5
information,2004,14128,5254,0.37188561721404306
information,2005,17466,6932,0.39688537730447726
information,2006,22294,9093,0.40786758769175563
information,2007,28211,11173,0.39605118570770265
information,2008,27606,10700,0.3875968992248062
information,2009,24722,8674,0.3508615807782542
information,2010,25702,8378,0.3259668508287293
information,2011,30305,9785,0.322884012539185
information,2012,31735,9651,0.30411217898219634
information,2013,33979,10249,0.30162747579387267
information,2014,37062,11670,0.3148777723814149
information,2015,41679,13541,0.3248878332013724
information,2016,42674,14778,0.34629985471247127
information,2017,46114,16124,0.3496552023246736
information,2018,49434,18165,0.3674596431605777
information,2019,49377,18420,0.3730481803268728
information,2020,57314,21778,0.37997696897791117
information,2021,64843,26130,0.40297333559520687
information,2022,61676,25455,0.412721317854595
information,2023,55686,21450,0.3851955608231872
information,2024,54924,27729,0.5048612628359187
information,2025,60821,53109,0.8732016902056855
information,2026,15004,15004,1.0
software,1967,2,0,0.0
software,1968,2,0,0.0
software,1969,20,0,0.0
software,1970,13,0,0.0
software,1971,10,0,0.0
software,1972,18,0,0.0
software,1973,5,0,0.0
software,1974,20,0,0.0
software,1975,25,0,0.0
software,1976,27,0,0.0
software,1977,31,1,0.03225806451612903
software,1978,62,2,0.03225806451612903
software,1979,86,1,0.011627906976744186
software,1980,175,50,0.2857142857142857
software,1981,321,172,0.5358255451713395
software,1982,709,444,0.6262341325811002
software,1983,663,394,0.5942684766214178
software,1984,758,403,0.5316622691292876
software,1985,666,352,0.5285285285285285
software,1986,495,282,0.5696969696969697
software,1987,725,332,0.4579310344827586
software,1988,695,345,0.49640287769784175
software,1989,1388,601,0.4329971181556196
software,1990,3546,1626,0.45854483925549916
software,1991,3409,1436,0.4212378996773247
software,1992,3813,1622,0.42538683451350645
software,1993,5066,2202,0.4346624555862614
software,1994,6342,2999,0.4728792179123305
software,1995,8473,3995,0.47149769857193435
software,1996,11351,5569,0.4906175667342084
software,1997,12462,6599,0.5295297705023271
software,1998,15116,8158,0.5396930404869013
software,1999,25380,15828,0.6236406619385343
software,2000,38176,25056,0.6563285834031852
software,2001,21590,11549,0.5349235757295044
software,2002,14680,7166,0.4881471389645777
software,2003,13901,6318,0.45449967628228183
software,2004,15881,6464,0.4070272652855614
software,2005,17077,7050,0.41283597821631435
software,2006,19083,7669,0.4018760153015773
software,2007,22053,8690,0.394050696050424
software,2008,21158,8003,0.3782493619434729
software,2009,19129,6789,0.3549061634168017
software,2010,21350,7179,0.33625292740046836
software,2011,25786,8651,0.3354921275110525
software,2012,29232,9401,0.32159961685823757
software,2013,31234,9772,0.3128641864634693
software,2014,35360,11959,0.33820701357466065
software,2015,40545,14731,0.3633247009495622
software,2016,40453,14776,0.3652633920846414
software,2017,42907,15739,0.3668166033514345
software,2018,45808,18210,0.39752881592734896
software,2019,43017,16800,0.39054327358951113
software,2020,48331,18855,0.3901222817653266
software,2021,57447,24490,0.42630598638745276
software,2022,56855,24734,0.43503649635036495
software,2023,50961,20625,0.404721257432154
software,2024,52392,27761,0.5298709726675829
software,2025,69010,62044,0.8990581075206492
software,2026,21619,21618,0.9999537443915074
