cpc_class,cpc_section,cpc_section_name,n_early,n_late,black_share_early,black_share_late,n_black_early,n_black_late,delta_share,delta_n
F21,F,Mechanical Eng; Lighting; Weapons,1236,849,0.09112208737864078,0.08175783274440519,112.6269,69.4124,-0.009364254634235583,-43.2145
F23,F,Mechanical Eng; Lighting; Weapons,1079,298,0.08562131603336423,0.0799738255033557,92.3854,23.8322,-0.005647490530008528,-68.5532
F24,F,Mechanical Eng; Lighting; Weapons,1365,1142,0.09836520146520146,0.06581558669001752,134.2685,75.16140000000001,-0.032549614775183935,-59.107099999999974
F25,F,Mechanical Eng; Lighting; Weapons,1109,656,0.08402173128944997,0.08081996951219511,93.18010000000001,53.0179,-0.003201761777254855,-40.16220000000001
F28,F,Mechanical Eng; Lighting; Weapons,653,301,0.0960375191424196,0.07383388704318937,62.7125,22.224,-0.022203632099230236,-40.4885
F41,F,Mechanical Eng; Lighting; Weapons,1992,1184,0.09870843373493977,0.08617466216216216,196.62720000000002,102.0308,-0.012533771572777616,-94.59640000000002
F42,F,Mechanical Eng; Lighting; Weapons,796,350,0.09643065326633167,0.07723028571428571,76.75880000000001,27.0306,-0.01920036755204596,-49.72820000000001
G01,G,Physics (incl. computing),18234,10958,0.0821699846440715,0.06576972987771491,1498.2875,720.7047,-0.016400254766356592,-777.5827999999999
G02,G,Physics (incl. computing),3701,2030,0.07912350716022697,0.06199216748768473,292.8361,125.8441,-0.01713133967254224,-166.992
G03,G,Physics (incl. computing),3158,501,0.07707055098163394,0.052291816367265466,243.3888,26.1982,-0.024778734614368476,-217.19060000000002
G05,G,Physics (incl. computing),1879,1864,0.07943597658328898,0.06765842274678112,149.2602,126.1153,-0.01177755383650786,-23.144899999999993
G06,G,Physics (incl. computing),24193,49648,0.08335511511594262,0.06098048864002578,2016.6103,3027.5593,-0.022374626475916842,1010.9489999999998
G07,G,Physics (incl. computing),1737,1232,0.08664219919401267,0.07685673701298701,150.4975,94.6875,-0.009785462181025661,-55.81
G08,G,Physics (incl. computing),1544,1375,0.09246968911917099,0.08600574545454547,142.7732,118.2579,-0.006463943664625521,-24.515299999999996
