year,ethnic,tier,weight_in_tier,share_within_ethnic
1910,Hispanic,IP_HIGH,0.0199,0.10326933056564609
1910,Hispanic,MANUF,0.1275,0.6616502335236119
1910,Hispanic,OTHER,0.0207,0.10742086144265699
1910,Two+,FOOD_HYG,0.0211,0.06704798220527487
1910,Two+,IP_HIGH,0.0143,0.045440101684143634
1910,Two+,MANUF,0.2592,0.8236415633937083
1910,Two+,OTHER,0.0201,0.06387035271687322
1910,AIAN,FOOD_HYG,0.0089,0.10814094775212639
1910,AIAN,IP_HIGH,0.0064,0.07776427703523696
1910,AIAN,MANUF,0.059899999999999995,0.7278250303766708
1910,AIAN,OTHER,0.0070999999999999995,0.08626974483596599
1911,White,FOOD_HYG,3.4529,0.5174744477415101
1911,White,IP_HIGH,0.8532,0.1278661990828163
1911,White,MANUF,2.3665000000000003,0.3546593531756737
1911,Black,FOOD_HYG,0.21539999999999998,0.3095272309239833
1911,Black,IP_HIGH,0.0683,0.0981462853858313
1911,Black,MANUF,0.41220000000000007,0.5923264836901855
1911,API,FOOD_HYG,0.0671,0.5601001669449082
1911,API,IP_HIGH,0.0,0.0
1911,API,MANUF,0.052700000000000004,0.4398998330550918
1911,Hispanic,FOOD_HYG,0.1592,0.5431593312862504
1911,Hispanic,IP_HIGH,0.0444,0.15148413510747186
1911,Hispanic,MANUF,0.0895,0.3053565336062777
1911,Two+,FOOD_HYG,0.0617,0.4533431300514328
1911,Two+,IP_HIGH,0.0188,0.13813372520205733
1911,Two+,MANUF,0.0556,0.4085231447465099
1911,AIAN,FOOD_HYG,0.0396,0.6255924170616115
1911,AIAN,IP_HIGH,0.0,0.0
1911,AIAN,MANUF,0.0237,0.37440758293838866
1912,White,FOOD_HYG,3.1544,0.40176274295030184
1912,White,MANUF,4.697,0.5982372570496981
1912,Black,FOOD_HYG,0.40459999999999996,0.29408344236080824
1912,Black,MANUF,0.9712000000000001,0.7059165576391918
1912,API,FOOD_HYG,0.0096,0.35955056179775274
1912,API,MANUF,0.0171,0.6404494382022472
1912,Hispanic,FOOD_HYG,0.30269999999999997,0.6682119205298013
1912,Hispanic,MANUF,0.15030000000000002,0.3317880794701987
1912,Two+,FOOD_HYG,0.07500000000000001,0.38981288981288986
1912,Two+,MANUF,0.1174,0.6101871101871101
1912,AIAN,FOOD_HYG,0.0148,0.482084690553746
1912,AIAN,MANUF,0.015899999999999997,0.517915309446254
1913,White,FOOD_HYG,1.6183,0.15655866959474493
1913,White,MANUF,7.9076,0.765002370195517
1913,White,OTHER,0.8108,0.07843896020973812
1913,Black,FOOD_HYG,0.2709,0.14378217716681702
1913,Black,MANUF,1.4811,0.7861047715089433
1913,Black,OTHER,0.13210000000000002,0.0701130513242397
1913,API,FOOD_HYG,0.011099999999999999,0.10174152153987168
1913,API,MANUF,0.0928,0.850595783684693
1913,API,OTHER,0.005200000000000001,0.04766269477543539
1913,Hispanic,FOOD_HYG,0.046799999999999994,0.13870776526378184
1913,Hispanic,MANUF,0.2661,0.7886781268524007
1913,Hispanic,OTHER,0.0245,0.07261410788381742
1913,Two+,FOOD_HYG,0.039900000000000005,0.1646039603960396
1913,Two+,MANUF,0.18230000000000002,0.7520627062706271
1913,Two+,OTHER,0.0202,0.08333333333333333
1913,AIAN,FOOD_HYG,0.0131,0.18634423897581792
1913,AIAN,MANUF,0.0501,0.712660028449502
1913,AIAN,OTHER,0.0070999999999999995,0.10099573257467993
1914,White,FOOD_HYG,0.5963,0.05290897314179747
1914,White,IP_HIGH,0.6022,0.05343247295990346
1914,White,MANUF,9.1902,0.8154352590436812
1914,White,OTHER,0.8815999999999999,0.07822329485461788
1914,Black,FOOD_HYG,0.3398,0.12894167646947216
1914,Black,IP_HIGH,0.3309,0.12556445186506282
1914,Black,MANUF,1.9045,0.7226881189997344
