nice_class,label,n_filings,n_firms,n_firms_eligible,class_mean_pros,class_mean_retr,class_mean_dkl,ever_public_rate,surv_argmax_pos,surv_quad_a,surv_slope_left,surv_slope_right,surv_overall_slope,pub_argmax_pos,pub_quad_a,pub_slope_left,pub_slope_right,pub_overall_slope
024,Textiles,115352,6731,769,4.237316039285823,4.195102035134132,0.04221400415169079,0.05721716514954486,0.8571428571428572,-0.015458931528578185,0.03510797106055182,-0.04437320549139601,0.02278001877379014,0.9166666666666666,0.01251033200427471,0.022239804612560584,-0.09421143185454695,0.022546422679659128
025,Clothing,762117,43726,4293,4.402251519780173,4.41937099683954,-0.017119477059366096,0.05008152806894945,0.0,0.013947935404582792,0.0,-0.0035076074345439814,-0.0035076074345439814,1.0,0.0009213395127150456,0.01037760732610923,0.0,0.01037760732610923
026,Lace,51716,2360,216,4.488182086631919,4.344335736520526,0.14384635011139307,0.046296296296296294,0.16666666666666655,-0.010057656685798447,0.09977313675137142,-0.020020204483121022,-0.013311590883251245,,,,,
027,Carpets,31769,1846,242,4.552422517011245,4.4739540492376815,0.07846846777356403,0.06198347107438017,0.09090909090909098,0.006169286972756574,0.39388247539877136,-0.01601811700326404,-0.008975623345449317,,,,,
028,Toys,374850,20169,3037,4.9570668257652395,4.92202297106073,0.03504385470450947,0.05367138623641752,0.14285714285714277,-0.002654143052461562,0.058755422635729374,-0.010940218468325455,-0.008905875393283783,0.5714285714285714,-0.008285553234829117,0.02114775330044601,-0.026420790779414855,-0.00012681311842364698
029,Meat,147690,11020,1534,4.6407328938694645,4.631844865462235,0.008888028407229477,0.06584093872229466,0.1428571428571428,-0.008411121050433472,0.09233824491121655,-0.013908584651463397,-0.005828334559232229,0.4999999999999999,-0.015884405593142168,0.04745229497053172,-0.024288065587478282,0.011198471251947307
030,Coffee,228721,15672,2097,4.912529210606764,4.890781008401655,0.021748202205109948,0.050548402479732954,0.35714285714285726,-0.0006913520898275475,0.030204425769948563,-0.0033879163107234556,-0.0017783559461211362,0.7142857142857142,-0.007512544112485918,0.010677691738008473,-0.05241448844584748,-0.0035531442385411584
031,Agriculture,71683,5084,682,4.9261123172564725,4.885344079155702,0.040768238100770605,0.05865102639296188,0.28571428571428575,-0.01048845014583198,0.10687684963143441,-0.010187350140635782,0.006960417349941104,0.3333333333333333,-0.016324079925475875,0.003065157448164412,-0.04590387849881901,-0.028456836241544988
032,Beverages,111860,8512,1073,4.20375346804418,4.1827100121092124,0.021043455934968414,0.05498602050326188,0.5714285714285714,-0.017500612751245332,0.04626514745817941,-0.025074085195228978,0.00493336368347255,0.0,-0.001953575851064824,0.0,-0.021335114763196644,-0.021335114763196644
033,Wine/Spirits,78784,5680,693,4.104608084764973,4.045764676545572,0.058843408219400845,0.015873015873015872,0.7142857142857141,-0.0031726265762353537,0.023812879114389417,-0.026312960545154036,0.012256424449619482,1.0,0.02672063684719587,0.027762264789657848,0.0,0.027762264789657848
034,Tobacco,43654,3020,442,3.6925530840863834,3.4570583974691576,0.23549468661722678,0.020361990950226245,0.7692307692307689,0.00019230897125000745,0.0065114828062358176,-0.03557477790692172,0.00021643707444375025,0.27272727272727276,0.001362912352860735,0.07735436831785747,-0.006057409412360216,0.0036187098457964866
035,Advertising,1129192,77974,7481,5.369641689563175,5.364972261004419,0.0046694285587586615,0.12658735463173373,0.21428571428571433,0.0007311638242678978,0.027291942717361278,-0.012723636544831657,-0.01070232914930209,0.42857142857142866,-0.02454307615786229,0.05469166774782458,-0.04468451816263334,-0.010943280913927668
036,Insurance,445721,34191,4083,4.910840641302941,4.927653078246838,-0.016812436943897304,0.1523389664462405,1.0,-0.0017572544785913282,-0.004704806562628779,0.0,-0.004704806562628779,0.21428571428571436,-0.02388995514293406,0.09392008233168186,-0.03432074314681805,-0.013275624854550739
037,Construction,203775,15071,1184,5.177295757821011,5.1515448540495345,0.02575090377147516,0.16638513513513514,0.9285714285714286,-0.005573652703325001,0.010331865226053913,-0.1275962436850417,0.008680802015839957,0.5714285714285713,-0.02745381320365067,0.040820499712824046,-0.09348335099890723,-0.0045745426949932045
038,Telecom,184525,14122,1588,4.322457444253246,4.344457811587473,-0.02200036733422688,0.16498740554156172,1.0,-0.0069198053685079535,0.04788315769205338,0.0,0.04788315769205338,0.3076923076923077,-0.04353371272494391,0.09342832836770741,-0.05761219514006275,-0.0006384435085184062
039,Transport,135218,10202,906,5.04222682184117,5.037574472180371,0.004652349660797906,0.20198675496688742,0.21428571428571427,-0.007553199416971754,0.08082458275650749,-0.004694710896755829,0.003028331958813346,0.30769230769230765,-0.05439758358910992,0.1753001141205098,-0.0680755414892064,-0.003679532709645498
040,Materials Treat,107294,7979,443,5.360219018489054,5.345763200003308,0.014455818485744417,0.24153498871331827,0.9285714285714286,-0.003348265362923134,0.04228379705806972,-0.17494101010064259,0.039587969521012505,0.5555555555555555,-0.059306919369833414,0.1270609764686517,-0.1084290974512427,-0.008017839491532371
041,Education/Ent,1050501,67571,7305,5.174999828232051,5.155325415544556,0.019674412687496007,0.07679671457905544,0.14285714285714277,0.006867798696697699,0.07506682201027008,-0.011578324929423617,-0.010036177753241202,0.21428571428571427,-0.012061775217177254,0.10616622847927903,-0.019711729910063532,-0.0017688135110636187
042,Software Svcs,840082,65636,6388,5.159389554406717,5.1433017701152774,0.016087784291439873,0.18065122103944897,1.0,0.007343700416655088,0.014587398342352101,0.0,0.014587398342352101,0.28571428571428575,-0.0173570525864347,0.12012132302470445,-0.015730767051698433,0.007641310324725325
043,Food Svcs,158840,10706,940,4.865726550615397,4.829832297776476,0.03589425283891955,0.10106382978723404,0.14285714285714285,-0.008452020016678295,0.0955501867462993,-0.02271420985322931,-0.013770246607590034,0.2727272727272727,-0.040363828780557075,0.1573155438930089,-0.029995124583582073,0.008563979319230614
044,Medical Svcs,219405,15153,1473,4.93358498448739,4.90948630177855,0.024098682708840788,0.1446028513238289,0.0,0.008317998805160326,0.0,-0.0025546356106547884,-0.0025546356106547884,0.38461538461538475,-0.02903607195445744,0.012962168836776007,-0.06620155555752838,-0.02298116634066216
045,Legal Svcs,146006,9719,665,4.978220107555075,4.972398758396067,0.005821349159008557,0.15037593984962405,0.07142857142857138,0.008392602031113293,0.14499618586448143,-0.009004699884605819,-0.007954312383666534,0.2000000000000001,-0.0472817461090715,0.27569939239810115,-0.08717007354547844,-0.04640027107031532
