[028 2004 ab  dup3200/2310own*COPY w2] board games
[028 2005 ab  dup300/178own*COPY w1] toys
[028 2006 ab  dup327/144own*COPY w2] Parlor games
[028 2009 ab  dup1857/846own*COPY w2] Plush toys
[028 2013 ab  dup1197/721own*COPY w1] Dolls
[029 2004 ab  dup28/24own*COPY w4] Meats and Processed Foods
[029 2012 ab  dup5/2own*COPY w3] Frozen Processed Fruit
[029 2013 ab  dup1/1own w5] Dried peppers, namely chili peppers
[029 2015 ab  dup2/1own w14] Processed seafood, namely, fish; Seafood, namely, smoked fish, not live; Seasoned fish; Smoked fish
[030 1995 ab  dup1/1own w9] processed grains, namely, pasta and couscous, seasonings and sauces
[030 2001 ab  dup15/8own*COPY w2] Prepared pasta
[030 2009 ab  dup14/2own w16] Bakery goods, crackers, and pretzel crackers, and preparations made from cereals, namely, cereal-based snack food
[030 2009 ab  dup2/1own w5] Food including sauces and condiments
[030 2012 ab  dup2/1own w87] Bakery desserts; Bakery goods; Wheat free and gluten free bakery goods; Bakery products; Bakery products, namely, sweet bakery goods; Dessert mousse; Dessert puddings; Dessert souffles; Flavored, sweetened gelatin desserts; Frozen soy-based desserts; Fruit cobblers; Fruit pies; Ice cream desserts; Meat pies; Pies; Pot pies; Poultry and game meat pies; Puddings; Rice-based pudding dessert; Samosas;
[030 2016 ab  dup1/1own w469] Condiments, namely, mustard, ketchup and mayonnaise; sauces; salad dressings; syrups used for food flavoring, table syrup, maple syrup, and breakfast syrup, namely pancake syrup; sauces for meat, poultry and fish, namely cooking sauces and grilling sauces; frozen desserts, namely, frozen cakes, frozen cookie dough, frozen cookies, frozen pies; Flavorings for beverages, other than essential oils; f
[031 2006 ab  dup1/1own w15] Pet treats, namely, gourmet homemade all-meat birthday cakes for dogs and cupcakes for pets
[031 2011 ab  dup4/1own w6] Agricultural seeds for corn and soybeans
[031 2018 ab  dup82/73own*COPY w1] Dogs
[032 1995 ab  dup650/266own*COPY w3] beer and ale
[032 1998 ab  dup1770/505own*COPY w2] soft drinks
[032 2002 ab  dup38/32own*COPY w4] MINERAL AND AERATED WATERS
[032 2004 ab  dup1770/505own*COPY w2] SOFT DRINKS
[032 2005 ab  dup25/20own*COPY w2] Isotonic beverages
[032 2008 ab  dup4/3own*COPY w5] Fruits drinks and fruit juices
[032 2014 ab  dup186/136own*COPY w2] Fruit juice
[033 2005 ab  dup23114/9326own*COPY w1] wine
[033 2005 ab  dup3149/1803own*COPY w1] VODKA
[033 2008 ab  dup23114/9326own*COPY w1] Wine
[033 2015 ab  dup14/14own*COPY w2] Vodka; spirits
[033 2015 ab  dup5192/2181own*COPY w2] Distilled Spirits
[033 2018 ab  dup5192/2181own*COPY w2] Distilled spirits
[033 2018 ab  dup5192/2181own*COPY w2] Distilled spirits
[034 1998 ab  dup5301/1569own*COPY w1] cigars
[034 2009 ab  dup100/71own*COPY w10] Electronic cigarettes for use as an alternative to traditional cigarettes
[034 2014 ab  dup118/84own*COPY w4] Tobacco, cigars and cigarettes
[034 2014 ab  dup78/36own*COPY w12] Electronic cigarettes; Electronic cigarettes for use as an alternative to traditional cigarettes
[034 2015 ab  dup3/3own w13] Oral vaporizers for smoking purposes; Smokeless cigar vaporizer pipes; Smokeless cigarette vaporizer pipe
[035 1995 ab  dup1/1own w14] creating, arranging and developing promotional events for marketing the products and services of others
[035 2000 ab  dup4/1own w27] providing information of interest to persons with disabilities through a global computer network computer services, namely, retail services featuring general merchandise of interest to persons with disabilities
[035 2001 ab  dup1/1own w39] Computerized, interactive marketing strategy services, namely, dissemination of multimedia presentations of advertising and direct mail marketing material recorded on electronic storage medium relating to products and services of others for purpose of sales transactions between seller and such user.
[035 2003 ab  dup1/1own w100] PRODUCT MARKETING CONSULTING SERVICES; NAMELY, PRODUCT LAUNCH STRATEGY AND TACTICS, PRODUCT POSITIONING STUDIES, MARKETING STRATEGY PLANNING AND IMPLEMENTATION, MARKET OPPORTUNITY ASSESSMENTS, MARKET SEGMENTATION AND SIZING STUDIES, CUSTOMER SATISFACTION STUDIES AND SURVEYS, SALES CHANNEL ASSESSMENT STUDIES AND TRAINING PROGRAMS FOR SALES EXECUTIVES AND CONDUCTING BUSINESS SEMINARS AND BOOKS, BOOK
[035 2009 ab  dup1/1own w31] Providing consumer information in the field of pro-life service providers, retailers and manufacturers; Provision of information and advice to consumers regarding the selection of products and items to be purchased
[035 2013 ab  dup2/1own w107] Promoting the goods and services of others by providing a web site featuring coupons, rebates, price-comparison information, product reviews, links to the retail web sites of others, and discount information; Promoting the goods of others, namely, providing coupons, rebates and vouchers for the goods of others; Promotional services, namely, promoting the goods of others by means of providing onlin
[036 2005 ab  dup1/1own w9] Providing online real estate listings via global computer networks
[036 2005 ab  dup476/408own*COPY w4] Insurance agency and brokerage
[036 2013 ab  dup1/1own w777] Electronic financial service for the purchase of savings bonds; Financial services in the nature of an investment security; Financial services rendered in connection with the issuance, receipt and transfer of lines of credit, namely, credit processing services; Financial services, namely, a total portfolio offering for high net worth clients consisting of both separate accounts and mutual funds fo
[036 2014 ab  dup1/1own w33] Financial consulting and planning services, namely, analysis and management of charitable estate planning, philanthropic planning, legacy planning, fundraising, family office services, wealth management, and financial and tax planning; Charitable fundraising and consulting services
[037 1999 ab  dup1/1own w272] Financial services, providing financing for the acquisition and energy efficiency audit; providing financing for the consulting services; providing financing for the acquisition and installation of energy efficient building materials and devices; providing extended warranty or service contracts for maintenance and repair of residential utility systems, appliances, heating and cooling systems, plum
[037 1999 ab  dup1/1own w50] Miscellaneous, including without limitation, interpersonal relationships. Real Estate, Leasing Brokerage and Site Selection. Building and construction, including that carried out for, without limitation, internet and technology companies. Telecommunication and internet access for real estate and the next century. Advertising and Marketing for companies including, without limitation, internet and t
[037 2000 ab  dup1/1own w21] REAL ESTATE DEVELOPMENT AND CONSTRUCTION SERVICES, NAMELY, PLANNING, LAYING OUT, AND CONSTRUCTION OF OFFICE, RETAIL, WAREHOUSE, AND GENERAL COMMERCIAL USE BUILDINGS
[037 2002 ab  dup1/1own w240] Logistics management in the field of retail, wholesale, manufacturing and outsourced distribution for dry and refrigerated goods, foods and beverages; Energy usage and supply management for commercial, retail, industrial and public buildings and structures; economic forecasting and analysis in the fields of railroad and transit development; business management consultation for infrastructure provi
[037 2002 ab  dup19/12own*COPY w11] Land development services, namely, planning and laying out of residential communities
[037 2009 ab  dup247/210own*COPY w3] General construction contracting
[037 2011 ab  dup237/187own*COPY w4] Custom construction of homes
[037 2016 ab  dup1/1own w519] Installation and repair of heat treatment installations, in particular for the aluminium, non-ferrous metals and steel processing industries Stoves; gas fired furnaces; electric furnaces; prefabricated furnace elements; furnaces for industrial use; stokers for use with commercial furnaces; thermal treatment furnaces; electric and gas-fired furnaces for metallurgical purposes; gas-fired and electri
[037 2016 ab  dup27/25own*COPY w5] Commercial and residential cleaning services
[037 2017 ab  dup4/1own w1255] Business management analysis of chemical, nuclear, power generation, petroleum, heat supply, steam and other plants conducted based on fluctuating states of valves and other piping elements; business management consultancy of chemical, nuclear, power generation, petroleum, heat supply, steam and other plants conducted based on fluctuating states of valves and other piping elements; business manage
[038 2001 ab  dup10/10own*COPY w3] Video teleconferencing services
[038 2001 ab  dup36/8own*COPY w34] TELECOMMUNICATIONS SERVICES, NAMELY, THE ELECTRONIC TRANSMISSION OF VOICE, FACSIMILE, DATA, VIDEO AND INFORMATION, WIRE AND WIRELESS TELEPHONE SERVICES; AND, MULTIMEDIA AND INTERACTIVE TELECOMMUNICATIONS SERVICES, NAMELY, THE ELECTRONIC TRANSMISSION OF VOICE, DATA, IMAGES AND FACSIMILE
[038 2001 ab  dup4/1own w77] TELECOMMUNICATION SERVICES, NAMELY LOCAL, LONG DISTANCE AND INTERNATIONAL VOICE, TEXT, FACSIMILE, VIDEO, IMAGE, DATA AND WIRELESS TRANSMISSION VIA SATELLITE, TERRESTRIAL AND UNDERSEA COMMUNICATION LINKS; TELEPHONE TELECOMMUNICATION SERVICES PROVIDED VIA TELEPHONE CALLING CARDS; PROVIDING MULTIPLE USER ACCESS TO A GLOBAL COMPUTER NETWORK; PROVIDING WIRELESS SERVICES NAMELY VOICE TELECOMMUNICATIONS;
[038 2003 ab  dup28/3own*COPY w127] Telecommunications services, namely, providing transmission of voice, data, facsimile and video via computer, television and telecommunications networks; wireline and wireless communication transmission services; custom calling services for consumers and business; voice and data messaging store and forward services; voice and video conferencing services; telecommunications gateway services for pro
[038 2008 ab  dup1/1own w17] Audio conferencing services; Video conferencing services; Providing audio and/or video conferencing via telephone and/or internet
[038 2008 ab  dup1/1own w187] Internet broadcasting services; Audio broadcasting; Video broadcasting; Computer transmission of information accessed via a code or a terminal; Providing multiple user access to proprietary collections of information by means of global computer information networks; Providing user access to a global computer network; Provision of access to a global computer network; Computer services, namely, prov
[038 2010 ab  dup2/1own w10] Television broadcasting; Television transmission services; Video-on-demand transmission services
[039 2000 ab  dup1/1own w26] ENERGY DISTRIBUTION REWARD PROGRAM IN THE FIELD OF ENERGY, NAMELY PROVIDING MONETARY AND EQUIPMENT REWARD TO EDUCATIONAL FACILITIES FOR ACTING AS AGGREGATORS TO ENERGY DISTRIBUTION PROGRAMS
[039 2010 ab  dup44/31own*COPY w6] Air transportation of passengers and freight
[039 2012 ab  dup1/1own w116] Local, interstate and international services, namely, packing for transportation or storage, moving transportation of goods, and storage of goods; Moving transportation consultation; Vehicle relocation services; Providing information in the field of moving transportation, packing articles for transportation or storage, and storage of goods; Moving and storage services for major sporting events; Mo
[039 2014 ab  dup6/1own w7] Air transport of passengers, cargo, and freight
[039 2015 ab  dup6/3own*COPY w55] Air transportation services, namely, transportation of passengers, baggage, parcels, freight and cargo by air; air taxi transport services; loaning and rental of airplanes, jet airplanes and aircraft; providing information about air transportation via a website on a global computer network; travel agency services, namely, making reservations and bookings for transportation; providing air travel in
[039 2017 ab  dup13/6own*COPY w4] Bus chartering; Bus transport
[039 2018 ab  dup2/1own w106] Air transport; Aircraft rental; Boat rental; Car parking; Car rental; Courier services; Freighting services; Message delivery; Storage of goods; Transport reservation; Transport and delivery of goods; Transport and storage of goods; Transport by aircraft; Transport by land; Transport of goods; Transport of passengers; Transport of travellers; Travel agency services, namely, making reservations and
[040 1997 ab  dup3/2own w7] Custom manufacture of point of purchase displays
[040 1998 ab  dup42/18own*COPY w6] custom manufacture of computers for others
[040 2009 ab  dup1/1own w283] Film for liquid pressure transfer, namely, plastic film for liquid pressure transfer of a print layer onto the surface of an article Designing, namely, industrial designing in the field of printing equipment and surface treatment equipment; three-dimensional surface printing; consultancy on three-dimensional surface printing; design of three-dimensional surface printing equipment and apparatuses; 
[040 2015 ab  dup40/36own*COPY w2] 3D printing
[040 2016 ab  dup184/165own*COPY w2] Winery services
[040 2017 ab  dup259/195own*COPY w1] Recycling
[041 2010 ab  dup1/1own w13] Entertainment services, namely, an on-going television program featuring entertainment news and gossip
[041 2010 ab  dup1/1own w39] Education services, namely, providing lectures in the field of health; Educational and entertainment services, namely, a continuing program about health accessible by radio, television, satellite, audio, video and computer networks; Providing on-line newsletters in the field of health
[041 2012 ab  dup1/1own w22] Presentation of live show performances; education providing classes and seminars and entertainment services providing films and plays in the field of religion
[041 2013 ab  dup1/1own w111] Education and entertainment services in the nature of professional football games and exhibitions; providing sports and entertainment information via a global computer network or a commercial on-line computer service or by cable, satellite, television and radio; arranging and conducting athletic competitions, namely, professional football games and exhibitions; football fan club services; entertai
[042 1995 ab  dup2/1own w49] online travel information services, online travel agency services, namely, making reservations and bookings for transportation, arranging travel tours and air transportation services online travel agency services, namely, making reservations and bookings for temporary lodging online marketing services, namely, dissemination of advertisements for others via an online electronic communications netwo
[042 1997 ab  dup1/1own w40] optional programs available to members, namely insurance and personal coverage; group membership in discount shopping clubs; a legal plan; a 24-hour medical information service; group purchasing power for various trucking products and services and various personal products and services;
[042 2000 ab  dup1/1own w105] EDUCATIONAL AND TRAINING SERVICES, NAMELY, CONDUCTING CLASSES, SEMINARS, CONFERENCES AND WORKSHOPS IN THE FIELDS OF TECHNOLOGY, BUSINESS, SCIENCE, AND ACADEMICS PROVIDED VIA THE GLOBAL COMMUNICATIONS NETWORK AND PROVIDED VIA AN IN-HOUSE COMPUTER NETWORK SOFTWARE FOR USE IN TEACHING, TRAINING AND LEARNING IN THE FIELDS OF TECHNOLOGY, BUSINESS, SCIENCE, AND ACADEMICS; COMPUTER SOFTWARE FOR DEVELOPIN
[042 2000 ab  dup1/1own w346] Insurance services, namely, insurance and reinsurance underwriting services in the field of fire, accident, miscellaneous risks, casualty, credit, personal liability, life, marital, marine, property, universal liability, prepaid legal expense and trip cancellation insurance; insurance brokerage; financial affairs, namely; financial fund investments consultancy; fund investments capital investment 
